GeneSymbol	Gene Name	chr	start	stop
ABL1	ABL1	chr9	133589267	133763062
AKT1	AKT1	chr14	105235685	105262080
ALK	ALK	chr2	29415639	30144477
APC	APC	chr5	112043201	112181936
ATM	ASXL1	chr20	30946146	31027122
BRAF	ATM	chr11	108093558	108239826
CDH1	BCOR	chrX	39910498	40036582
CDKN2A	BCORL1	chrX	129139163	129192058
CSF1R	BRAF	chr7	140433811	140624564
CTNNB1	CALR	chr19	13049413	13055304
EGFR	CBL	chr11	119076985	119178859
ERBB2	CBLB	chr3	105374304	105588266
ERBB4	CDH1	chr16	68771192	68869445
EZH2	CDKN2A	chr9	21967750	21994490
FBXW7	CEBPA	chr19	33790839	33793470
FGFR1	CSF1R	chr5	149432853	149492935
FGFR2	CSF3R	chr1	36931643	36948915
FGFR3	CTNNB1	chr3	41240914	41281944
FLT3	DNMT3A	chr2	25455829	25565459
GNA11	EGFR	chr7	55086713	55275773
GNAQ	ERBB2	chr17	37844336	37884915
GNAS	ERBB4	chr2	212240441	213403352
HNF1A	ETV6	chr12	11802787	12048336
HRAS	EZH2	chr7	148504463	148581441
IDH1	FBXW7	chr4	153242409	153456393
IDH2	FGFR1	chr8	38268655	38326352
JAK2	FGFR2	chr10	123237843	123357972
JAK3	FGFR3	chr4	1795038	1810599
KDR	FLT3	chr13	28577410	28674729
KIT	GATA1	chrX	48644981	48652718
KRAS	GATA2	chr3	128198264	128212030
MET	GNA11	chr19	3094407	3124000
MLH1	GNAQ	chr9	80331189	80646365
MPL	GNAS	chr20	57414772	57486251
NOTCH1	HNF1A	chr12	121416370	121440315
NPM1	HRAS	chr11	532241	535567
NRAS	IDH1	chr2	209100950	209119867
PDGFRA	IDH2	chr15	90627209	90645786
PIK3CA	JAK1	chr1	65298905	65533429
PTEN	JAK2	chr9	4985085	5128183
PTPN11	JAK3	chr19	17935590	17958841
RB1	KDM6A	chrX	44732420	44971857
RET	KDR	chr4	55944425	55991762
SMAD4	KIT	chr4	55524094	55606881
SMARCB1	KMT2A	chr11	118307204	118397539
SMO	KRAS	chr12	25357722	25403865
SRC	MAP2K1	chr15	66679210	66783882
STK11	MET	chr7	116312412	116438440
TP53	MLH1	chr3	37034840	37092337
VHL	MPL	chr1	43803474	43820135
ASXL1	MYD88	chr3	38179968	38184513
BCOR	NOTCH1	chr9	139388884	139440238
BCORL1	NPM1	chr5	170814707	170837888
CALR	NRAS	chr1	115247084	115259515
CBL	PDGFRA	chr4	55095255	55164414
CBLB	PHF6	chrX	133507341	133562822
CEBPA	PIK3CA	chr3	178866310	178957881
CSF3R	PML	chr15	74287013	74340160
DNMT3A	PTEN	chr10	89623194	89731687
ETV6	PTPN11	chr12	112856701	112947722
GATA1	RAD21	chr8	117858172	117887105
GATA2	RB1	chr13	48877882	49056026
JAK1	RET	chr10	43572516	43625799
KDM6A	RUNX1	chr21	36160097	36421595
KMT2A	SETBP1	chr18	42260137	42648475
MAP2K1	SF3B1	chr2	198256697	198299817
MYD88	SMAD4	chr18	48556582	48611412
PHF6	SMARCB1	chr22	24129117	24176705
PML	SMC1A	chrX	53401069	53449677
RAD21	SMC3	chr10	112327448	112364392
RUNX1	SMO	chr7	128828712	128853386
SETBP1	SRC	chr20	35973087	36033835
SF3B1	SRSF2	chr17	74730196	74733493
SMC1A	STAG2	chrX	123094409	123236506
SMC3	STK11	chr19	1205797	1228434
SRSF2	TET2	chr4	106067031	106200960
STAG2	TP53	chr17	7571719	7590868
TET2	U2AF1	chr21	44513065	44527688
U2AF1	VHL	chr3	10183318	10195354
WT1	WT1	chr11	32409320	32457081
ZRSR2	ZRSR2	chrX	15808573	15841383
